"date"	"m30_density"
2013-10-18	9849711
2013-10-19	6677175
2013-10-20	5887513
2013-10-21	8624049
2013-10-22	8664147
2013-10-23	8905421
2013-10-24	8771107
2013-10-25	8655777
2013-10-26	6612575
2013-10-27	6230131
2013-10-28	8743074
2013-10-29	8941387
2013-10-30	9307886
2013-10-31	9525224
2013-11-01	6119436
2013-11-02	5605800
2013-11-03	5671216
2013-11-04	8889832
2013-11-05	9376469
2013-11-06	8988329
2013-11-07	8966674
2013-11-08	9217912
2013-11-09	6494850
2013-11-10	5974675
2013-11-11	8643360
2013-11-12	8854591
2013-11-13	9044852
2013-11-14	9151370
2013-11-15	9312469
2013-11-16	6661445
2013-11-17	4294990
2013-11-18	8792874
2013-11-19	8947104
2013-11-20	8816559
2013-11-21	9189206
2013-11-22	9318254
2013-11-23	6568138
2013-11-24	5340704
2013-11-25	10748477
2013-11-26	7730622
2013-11-27	10839882
2013-11-28	9177073
2013-11-29	9423963
2013-11-30	7057896
2013-12-01	5987969
2013-12-02	8874808
2013-12-03	9162906
2013-12-04	9026784
2013-12-05	9307106
2013-12-06	5663499
2013-12-07	5953000
2013-12-08	5681932
2013-12-09	8989853
2013-12-10	9138722
2013-12-11	9264084
2013-12-12	9256037
2013-12-13	9312677
2013-12-14	7307336
2013-12-15	6394598
2013-12-16	8877784
2013-12-17	9198948
2013-12-18	9300478
2013-12-19	9160053
2013-12-20	9526173
2013-12-21	5600129
2013-12-22	5998748
2013-12-23	8444925
2013-12-24	6559629
2013-12-25	5594292
2013-12-26	8028998
2013-12-27	5998430
2013-12-28	4564101
2013-12-29	4192439
2013-12-30	6282906
2013-12-31	4843679
2014-01-01	5238075
2014-01-02	7510071
2014-01-03	7674332
2014-01-04	5709613
2014-01-05	5247386
2014-01-06	4664366
2014-01-07	8247255
2014-01-08	8889117
2014-01-09	8926818
2014-01-10	9497039
2014-01-11	6820929
2014-01-12	5481773
2014-01-13	8018911
2014-01-14	8159150
2014-01-15	9090681
2014-01-16	8850863
2014-01-17	8735132
2014-01-18	6216307
2014-01-19	5024704
2014-01-20	8602049
2014-01-21	8132646
2014-01-22	8285044
2014-01-23	6683839
2014-01-24	8669735
2014-01-25	6610549
2014-01-26	5799509
2014-01-27	8453213
2014-01-28	8406631
2014-01-29	6086027
2014-01-30	9145054
2014-01-31	8586024
2014-02-01	1435261
2014-02-02	1339998
2014-02-03	10211388
2014-02-04	8137246
2014-02-05	8888875
2014-02-06	8373420
2014-02-07	9239561
2014-02-08	6529150
2014-02-09	5940657
2014-02-10	8178113
2014-02-11	6797534
2014-02-12	8966630
2014-02-13	8266144
2014-02-14	8699551
2014-02-15	6944976
2014-02-16	5780873
2014-02-17	8412712
2014-02-18	8777543
2014-02-19	9258519
2014-02-20	6475055
2014-02-21	10398570
2014-02-22	6331602
2014-02-23	6242219
2014-02-24	8641044
2014-02-25	8674443
2014-02-26	9047643
2014-02-27	9462104
2014-02-28	9098143
2014-03-01	5748452
2014-03-02	3438157
2014-03-03	10519928
2014-03-04	8779989
2014-03-05	9239880
2014-03-06	9276276
2014-03-07	9322482
2014-03-08	6934227
2014-03-09	6246013
2014-03-10	8887929
2014-03-11	9185293
2014-03-12	9837151
2014-03-13	9285293
2014-03-14	9289763
2014-03-15	6863860
2014-03-16	6061990
2014-03-17	8963381
2014-03-18	9062836
2014-03-19	8785326
2014-03-20	9997020
2014-03-21	7168494
2014-03-22	6724474
2014-03-23	5370756
2014-03-24	8970275
2014-03-25	9075807
2014-03-26	9219838
2014-03-27	9917772
2014-03-28	9327115
2014-03-29	6482295
2014-03-30	5796350
2014-03-31	9188328
2014-04-01	9049541
2014-04-02	9158292
2014-04-03	8963860
2014-04-04	10072406
2014-04-05	6954806
2014-04-06	6340589
2014-04-07	9166724
2014-04-08	8956509
2014-04-09	8877969
2014-04-10	7456061
2014-04-11	8281113
2014-04-12	6379890
2014-04-13	5580488
2014-04-14	7952548
2014-04-15	7974442
2014-04-16	7489572
2014-04-17	4403685
2014-04-18	4025551
2014-04-19	4429590
2014-04-20	4910758
2014-04-21	8475673
2014-04-22	9019042
2014-04-23	7140893
2014-04-24	9142708
2014-04-25	9317953
2014-04-26	6962821
2014-04-27	6283586
2014-04-28	9136209
2014-04-29	9164866
2014-04-30	9164866
2014-05-01	9097217.5
2014-05-02	9029569
2014-05-03	6283586
2014-05-04	7203568
2014-05-05	9029569
2014-05-06	7212291
2014-05-07	9299397
2014-05-08	9490530
2014-05-09	7386783
2014-05-10	7203568
2014-05-11	6338189
2014-05-12	9091414
2014-05-13	11199980
2014-05-14	9546379
2014-05-15	5979145
2014-05-16	8575303
2014-05-17	6367301
2014-05-18	5972273
2014-05-19	8995067
2014-05-20	9251971
2014-05-21	9311740
